CHEBI:24850	insect attractant
CHEBI:25573	nodulation factor
CHEBI:25728	osmolyte
CHEBI:33280	molecular messenger
CHEBI:33281	antimicrobial agent
CHEBI:35222	inhibitor
CHEBI:35703	xenobiotic
CHEBI:39317	growth regulator
CHEBI:50188	provitamin
CHEBI:50846	immunomodulator
CHEBI:50913	fixative
CHEBI:52206	biochemical role
CHEBI:52208	biophysical role
CHEBI:52209	aetiopathogenetic role
CHEBI:52210	pharmacological role
CHEBI:52211	physiological role
CHEBI:52290	mitogen
CHEBI:53000	epitope
CHEBI:53337	tissue adhesive
CHEBI:59132	antigen
CHEBI:59174	hapten
CHEBI:60218	mimotope
CHEBI:63923	sclerotherapy agent
CHEBI:64088	incretin mimetic
CHEBI:64909	poison
CHEBI:68509	glutathione depleting agent
CHEBI:71212	prohormone
CHEBI:73190	antimutagen
CHEBI:73623	tolerogen
CHEBI:76219	fluorogen
CHEBI:85516	Human Antigen R Protein Expression Modulator and AkT Inhibitor
