DB00001	Lepirudin	[]
DB00002	Cetuximab	[]
DB00003	Dornase alfa	[]
DB00004	Denileukin diftitox	[]
DB00005	Etanercept	[]
DB00006	Bivalirudin	['CHEBI:59173']
DB00007	Leuprolide	['CHEBI:6427']
DB00008	Peginterferon alfa-2a	[]
DB00009	Alteplase	[]
DB00010	Sermorelin	[]
DB00011	Interferon alfa-n1	[]
DB00012	Darbepoetin alfa	[]
DB00013	Urokinase	[]
DB00014	Goserelin	[]
DB00015	Reteplase	[]
DB00016	Erythropoietin	[]
DB00017	Salmon Calcitonin	[]
DB00018	Interferon alfa-n3	[]
DB00019	Pegfilgrastim	[]
DB00020	Sargramostim	[]
DB00021	Secretin	[]
DB00022	Peginterferon alfa-2b	[]
DB00023	Asparaginase	[]
DB00024	Thyrotropin Alfa	[]
DB00025	Antihemophilic Factor (Recombinant)	[]
DB00026	Anakinra	[]
DB00027	Gramicidin D	[]
DB00028	Immune Globulin Human	[]
DB00029	Anistreplase	[]
DB00030	Insulin Human	['CHEBI:5931']
DB00031	Tenecteplase	[]
DB00032	Menotropins	[]
DB00033	Interferon gamma-1b	[]
DB00034	Interferon Alfa-2a, Recombinant	[]
DB00035	Desmopressin	['CHEBI:4450']
DB00036	Coagulation factor VIIa Recombinant Human	[]
DB00038	Oprelvekin	[]
DB00039	Palifermin	[]
DB00040	Glucagon recombinant	[]
DB00041	Aldesleukin	[]
DB00042	Botulinum Toxin Type B	[]
DB00043	Omalizumab	[]
DB00044	Lutropin alfa	[]
DB00045	OspA lipoprotein	[]
DB00046	Insulin Lispro	[]
DB00047	Insulin Glargine	[]
DB00048	Collagenase clostridium histolyticum	[]
DB00049	Rasburicase	[]
DB00050	Cetrorelix	['CHEBI:59224']
DB00051	Adalimumab	[]
DB00052	Somatropin recombinant	[]
DB00053	Imiglucerase	[]
DB00054	Abciximab	[]
DB00055	Drotrecogin alfa	[]
DB00056	Gemtuzumab ozogamicin	[]
DB00057	Satumomab Pendetide	[]
DB00058	Alpha-1-proteinase inhibitor	[]
DB00059	Pegaspargase	[]
DB00060	Interferon beta-1a	[]
DB00061	Pegademase bovine	[]
DB00062	Human Serum Albumin	[]
DB00063	Eptifibatide	[]
DB00064	Serum albumin iodonated	[]
DB00065	Infliximab	[]
DB00066	Follitropin beta	[]
DB00067	Vasopressin	[]
DB00068	Interferon beta-1b	[]
DB00069	Interferon alfacon-1	[]
DB00070	Hyaluronidase	[]
DB00071	Insulin Pork	[]
DB00072	Trastuzumab	[]
DB00073	Rituximab	[]
DB00074	Basiliximab	[]
DB00075	Muromonab	[]
DB00076	Digoxin Immune Fab (Ovine)	[]
DB00078	Ibritumomab tiuxetan	[]
DB00080	Daptomycin	[]
DB00081	Tositumomab	[]
DB00082	Pegvisomant	[]
DB00083	Botulinum Toxin Type A	[]
DB00085	Pancrelipase	[]
DB00086	Streptokinase	[]
DB00087	Alemtuzumab	[]
DB00088	Alglucerase	[]
DB00089	Capromab	[]
DB00090	Laronidase	[]
DB00091	Cyclosporine	['CHEBI:4031']
DB00092	Alefacept	[]
DB00093	Felypressin	[]
DB00094	Urofollitropin	[]
DB00095	Efalizumab	[]
DB00096	Serum albumin	[]
DB00097	Chorionic Gonadotropin (Recombinant)	[]
DB00098	Anti-thymocyte Globulin (Rabbit)	[]
DB00099	Filgrastim	[]
DB00100	Coagulation Factor IX	[]
DB00102	Becaplermin	[]
DB00103	Agalsidase beta	[]
DB00104	Octreotide	[]
DB00105	Interferon Alfa-2b, Recombinant	[]
DB00106	Abarelix	['CHEBI:337298']
DB00107	Oxytocin	[]
DB00108	Natalizumab	[]
DB00109	Enfuvirtide	[]
DB00110	Palivizumab	[]
DB00111	Daclizumab	[]
DB00112	Bevacizumab	[]
DB00113	Arcitumomab	[]
DB00114	Pyridoxal Phosphate	['CHEBI:18405']
DB00115	Cyanocobalamin	['CHEBI:17439']
DB00116	Tetrahydrofolic acid	['CHEBI:20506']
DB00117	L-Histidine	['CHEBI:15971']
DB00118	S-Adenosylmethionine	['CHEBI:15414']
DB00119	Pyruvic acid	['CHEBI:32816']
DB00120	L-Phenylalanine	['CHEBI:17295']
DB00121	Biotin	['CHEBI:15956']
DB00122	Choline	['CHEBI:15354']
DB00123	L-Lysine	['CHEBI:18019']
DB00125	L-Arginine	['CHEBI:16467']
DB00126	Vitamin C	['CHEBI:17208']
DB00127	Spermine	['CHEBI:15746']
DB00128	L-Aspartic Acid	['CHEBI:17053']
DB00129	L-Ornithine	['CHEBI:15729']
DB00130	L-Glutamine	['CHEBI:18050']
DB00131	Adenosine monophosphate	['CHEBI:16027']
DB00132	Alpha-Linolenic Acid	['CHEBI:27432']
DB00133	L-Serine	['CHEBI:17115']
DB00134	L-Methionine	['CHEBI:16643']
DB00135	L-Tyrosine	['CHEBI:17895']
DB00136	Calcitriol	['CHEBI:17823']
DB00137	Xanthophyll	['CHEBI:27325']
DB00138	L-Cystine	['CHEBI:16283']
DB00139	Succinic acid	['CHEBI:15741']
DB00140	Riboflavin	['CHEBI:17015']
DB00141	N-Acetyl-D-glucosamine	['CHEBI:17411']
DB00142	L-Glutamic Acid	['CHEBI:16015']
DB00143	Glutathione	['CHEBI:16856']
DB00144	Phosphatidyl serine	['CHEBI:18303']
DB00145	Glycine	['CHEBI:15428']
DB00146	Calcidiol	['CHEBI:17933']
DB00147	Pyridoxal	['CHEBI:17310']
DB00148	Creatine	['CHEBI:16919']
DB00149	L-Leucine	['CHEBI:15603']
